Profession,count
Sales Executive,1537
Chef,2511
Travel Consultant,1653
Other,32591
Teacher,22134
Marketing Manager,1767
Consultant,3787
Accountant,1195
Educational Consultant,2549
Pharmacist,3436
Plumber,1573
Customer Support,1820
Content Writer,6970
Researcher,2065
HR Manager,3566
Data Scientist,2154
Chemist,2633
Doctor,2890
Pilot,1685
Business Analyst,2805
Lawyer,1947
Architect,3851
Digital Marketer,1216
Finanancial Analyst,1165
Financial Analyst,1411
Research Analyst,611
Judge,1525
Mechanical Engineer,1053
Graphic Designer,1037
Civil Engineer,1284
Software Engineer,1350
Entrepreneur,2637
Investment Banker,346
UX/UI Designer,1296
Manager,1556
Electrician,1391
Unemployed,3
