Sleep Duration,count
Less than 5 hours,64445
7-8 hours,61460
More than 8 hours,54916
5-6 hours,53546
3-4 hours,15
6-7 hours,15
4-5 hours,13
2-3 hours,9
8-9 hours,8
4-6 hours,7
1-6 hours,6
6-8 hours,4
No,4
9-5,3
Unhealthy,3
9-5 hours,3
1-2 hours,3
9-11 hours,3
10-11 hours,2
Sleep_Duration,2
3-6 hours,2
45,2
1-3 hours,2
10-6 hours,2
9-6 hours,2
than 5 hours,2
Meerut,2
40-45 hours,1
35-36 hours,1
0,1
45-48 hours,1
Work_Study_Hours,1
49 hours,1
Indore,1
55-66 hours,1
Moderate,1
Pune,1
6 hours,1
60-65 hours,1
Vivan,1
9-10 hours,1
8-89 hours,1
Have_you_ever_had_suicidal_thoughts,1
20-21 hours,1
50-75 hours,1
8 hours,1
