,Degree,Percentage,Depressed,Total
0,B.Com,15.69,1134,7224
1,B.Ed,12.7,1322,10405
2,BA,12.45,418,3356
3,BBA,13.49,601,4454
4,BCA,20.23,1035,5114
5,BE,18.97,525,2767
6,BHM,17.37,660,3799
7,BSc,15.47,694,4484
8,Class 12,51.14,6679,13060
9,LLB,15.21,588,3864
10,LLM,11.46,473,4124
11,M.Com,15.97,438,2741
12,MA,17.73,455,2565
13,MBA,11.76,401,3407
14,MBBS,16.88,458,2712
15,MCA,14.65,679,4632
16,MD,12.05,363,3012
17,ME,7.35,234,3181
18,MHM,7.01,205,2922
19,MSc,17.51,756,4317
20,Other,13.76,4146,30111
21,PhD,14.04,385,2742
